order,family,genus_species,genus,name,img_src,url
Anseriformes,"Ducks, Geese, and Waterfowl",Dendrocygna autumnalis,Dendrocygna,Black-bellied Whistling-Duck,https://www.allaboutbirds.org/guide/assets/photo/59936941-480px.jpgNA,https://www.allaboutbirds.org/guide/Black-bellied_Whistling-Duck/overview
Anseriformes,"Ducks, Geese, and Waterfowl",Dendrocygna bicolor,Dendrocygna,Fulvous Whistling-Duck,https://www.allaboutbirds.org/guide/assets/photo/162798201-480px.jpgNA,https://www.allaboutbirds.org/guide/Fulvous_Whistling-Duck/overview
Anseriformes,"Ducks, Geese, and Waterfowl",Anser canagicus,Anser,Emperor Goose,https://www.allaboutbirds.org/guide/assets/photo/295404891-480px.jpgNA,https://www.allaboutbirds.org/guide/Emperor_Goose/overview
Anseriformes,"Ducks, Geese, and Waterfowl",Anser caerulescens,Anser,Snow Goose,https://www.allaboutbirds.org/guide/assets/photo/295417571-480px.jpgNA,https://www.allaboutbirds.org/guide/Snow_Goose/overview
Anseriformes,"Ducks, Geese, and Waterfowl",Anser rossii,Anser,Ross's Goose,https://www.allaboutbirds.org/guide/assets/photo/295421201-480px.jpgNA,https://www.allaboutbirds.org/guide/Rosss_Goose/overview
Anseriformes,"Ducks, Geese, and Waterfowl",Anser albifrons,Anser,Greater White-fronted Goose,https://www.allaboutbirds.org/guide/assets/photo/59938311-480px.jpgNA,https://www.allaboutbirds.org/guide/Greater_White-fronted_Goose/overview
Anseriformes,"Ducks, Geese, and Waterfowl",Branta bernicla,Branta,Brant,https://www.allaboutbirds.org/guide/assets/photo/295428261-480px.jpgNA,https://www.allaboutbirds.org/guide/Brant/overview
Anseriformes,"Ducks, Geese, and Waterfowl",Branta hutchinsii,Branta,Cackling Goose,https://www.allaboutbirds.org/guide/assets/photo/59950661-480px.jpgNA,https://www.allaboutbirds.org/guide/Cackling_Goose/overview
Anseriformes,"Ducks, Geese, and Waterfowl",Branta canadensis,Branta,Canada Goose,https://www.allaboutbirds.org/guide/assets/photo/59953191-480px.jpg,https://www.allaboutbirds.org/guide/Canada_Goose/overview
Anseriformes,"Ducks, Geese, and Waterfowl",Cygnus olor,Cygnus,Mute Swan,https://www.allaboutbirds.org/guide/assets/photo/59954151-480px.jpg,https://www.allaboutbirds.org/guide/Mute_Swan/overview
Anseriformes,"Ducks, Geese, and Waterfowl",Cygnus buccinator,Cygnus,Trumpeter Swan,https://www.allaboutbirds.org/guide/assets/photo/295430011-480px.jpg,https://www.allaboutbirds.org/guide/Trumpeter_Swan/overview
Anseriformes,"Ducks, Geese, and Waterfowl",Cygnus columbianus,Cygnus,Tundra Swan,https://www.allaboutbirds.org/guide/assets/photo/59956021-480px.jpg,https://www.allaboutbirds.org/guide/Tundra_Swan/overview
Anseriformes,"Ducks, Geese, and Waterfowl",Cairina moschata,Cairina,Muscovy Duck,https://www.allaboutbirds.org/guide/assets/photo/299692021-480px.jpg,https://www.allaboutbirds.org/guide/Muscovy_Duck/overview
Anseriformes,"Ducks, Geese, and Waterfowl",Aix sponsa,Aix,Wood Duck,https://www.allaboutbirds.org/guide/assets/photo/65533521-480px.jpg,https://www.allaboutbirds.org/guide/Wood_Duck/overview
Anseriformes,"Ducks, Geese, and Waterfowl",Spatula discors,Spatula,Blue-winged Teal,https://www.allaboutbirds.org/guide/assets/photo/60292801-480px.jpg,https://www.allaboutbirds.org/guide/Blue-winged_Teal/overview
Anseriformes,"Ducks, Geese, and Waterfowl",Spatula cyanoptera,Spatula,Cinnamon Teal,https://www.allaboutbirds.org/guide/assets/photo/299913341-480px.jpg,https://www.allaboutbirds.org/guide/Cinnamon_Teal/overview
Anseriformes,"Ducks, Geese, and Waterfowl",Spatula clypeata,Spatula,Northern Shoveler,https://www.allaboutbirds.org/guide/assets/photo/300124811-480px.jpg,https://www.allaboutbirds.org/guide/Northern_Shoveler/overview
